Timestamp,volume
1438590527726,12
1438590527828,1
1438590529117,1
1438590529527,2
1438590530141,1
1438590530243,1
1438590531269,2
1438590531680,1
1438590532500,2
1438590540993,1
1438590541505,2
1438590542436,14
1438590542645,2
1438590543362,2
1438590543465,2
1438590544387,1
1438590545511,4
1438590546122,1
1438590546328,1
1438590546944,9
1438590547454,3
1438590548274,1
1438590548376,10
1438590549093,1
1438590549502,1
1438590550014,2
1438590550117,1
1438590551446,4
1438590551855,1
1438590552061,4
1438590552265,1
1438590552470,1
1438590553191,3
1438590553293,1
1438590555034,3
1438590555241,1
1438590558946,7
1438590559149,1
1438590559562,2
1438590559664,3
1438590559971,3
1438590560073,1
1438590560484,2
1438590563461,1
1438590642443,4
1438590642552,20
1438590642758,3
1438590645210,1
1438590645518,1
1438590646133,1
1438590646752,29
1438590647162,1
1438590647787,1
1438590650549,17
1438590652388,1
1438590655349,1
1438590655452,1
1438590655761,2
1438590656273,1
1438590656486,1
1438590656588,1
1438590656693,1
1438590657102,1
1438590659146,3
1438590659349,3
1438590660171,5
1438590661093,1
1438590735618,1
1438590735825,4
1438590738720,1
1438590739231,1
1438590739743,2
1438590740259,6
1438590741494,1
1438591550203,2
1438591552970,1
1438591556753,1
1438591562901,2
1438591568630,2
1438591573024,3
1438591573330,4
1438591575072,1
1438591578444,2
1438591590732,1
1438591593801,1
1438591596458,1
1438591624995,1
1438591630412,2
1438591637876,2
1438591647768,3
1438591650838,1
1438591652374,1
1438591656157,2
1438591660958,2
1438591673536,1
1438591676094,1
1438591683072,1
1438591697904,1
1438591703015,1
1438591704651,1
1438591709152,1
1438591712320,1
1438591723785,1
1438591723891,2
1438591725016,1
1438591729416,1
1438591739601,1
1438591755550,1
1438591764345,54
1438591764446,3
1438591764856,31
1438591764962,1
1438591765270,128
1438591765374,14
1438591765475,1
1438591767619,15
1438591768544,1
1438591771309,1
1438591777040,1
1438591779395,2
1438591788820,1
1438591798027,2
1438591828908,1
1438591833568,1
1438591854350,1
1438591855679,2
1438591868369,3
1438591876039,1
1438591884933,1
1438591907959,1
1438591909086,1
1438591910108,1
1438591926899,2
1438591946534,2
1438591971919,2
1438591979998,1
1438591982454,1
1438591995233,2
1438592020812,1
1438592020915,2
1438592031214,2
1438592037244,1
1438592047786,4
1438592051888,2
1438592054960,1
1438592061103,1
1438592061512,2
1438592070225,3
1438592080252,1
1438592088446,2
1438592091930,2
1438592099817,1
1438592103916,1
1438592105551,1
1438592113012,1
1438592119552,3
1438592123378,1
1438592127883,1
1438592144861,1
1438592149358,1
1438592155392,2
1438592157642,1
1438592163068,1
1438592165834,1
1438592166139,1
1438592170944,1
1438592183024,2
1438592183229,1
1438592187321,3
1438592191003,4
1438592205344,1
1438592209334,3
1438592215261,1
1438592223105,1
1438592225875,3
1438592238152,1
1438592239379,2
1438592241220,1
1438592242755,1
1438592272835,2
1438592288194,2
1438592292286,1
1438592295557,1
1438592305272,1
